Target,Model,Condition,N_samples,MAE,RMSE,Pearson_r,Spearman_rho
label_ideology,Llama-3.1-8B-Instruct,no_rag,775,1.924,2.2641,0.0959,0.1407
label_ideology,Ministral-3-8B-Instruct-2512,e5/hyde,755,1.6811,2.1357,0.0786,0.1158
label_ideology,Ministral-3-8B-Instruct-2512,e5/simple,760,1.7486,2.2022,0.0385,0.0865
label_ideology,Ministral-3-8B-Instruct-2512,e5/twostage,757,1.7478,2.2015,0.0904,0.1318
label_ideology,Ministral-3-8B-Instruct-2512,jina/hyde,763,1.7473,2.2069,0.0553,0.0909
label_ideology,Ministral-3-8B-Instruct-2512,jina/simple,759,1.825,2.2567,0.0337,0.0661
label_ideology,Ministral-3-8B-Instruct-2512,jina/twostage,752,1.7305,2.1903,0.0673,0.1086
label_ideology,Ministral-3-8B-Instruct-2512,no_rag,775,1.4875,1.9038,0.0672,0.125
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/hyde,775,1.4839,1.9012,0.0686,0.1262
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/simple,775,1.4848,1.9026,0.0682,0.126
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/twostage,655,1.4582,1.8666,0.0719,0.1383
label_ideology,Qwen2.5-7B-Instruct,no_rag,774,1.0023,1.2792,0.0611,0.0809
label_ideology,llama-3.1-70b-instruct,no_rag,775,1.2488,1.631,0.0647,0.1259
label_ideology,mistral-large-2512,no_rag,775,1.1321,1.5071,0.0557,0.1287
label_ideology,qwen-2.5-72b-instruct,no_rag,440,1.073,1.3988,0.1019,0.157
