Target,Model,Condition,ΔMAE (RAG-Base),ΔRMSE (RAG-Base),ΔPearson_r (RAG-Base),ΔSpearman_rho (RAG-Base)
label_ideology,Llama-3.1-8B-Instruct,bge/hyde,-0.5467,-0.6515,0.0938,0.0188
label_ideology,Llama-3.1-8B-Instruct,bge/hyde_hybrid,-0.5439,-0.6477,0.0897,0.0142
label_ideology,Llama-3.1-8B-Instruct,bge/simple,-0.5505,-0.6517,0.1027,0.0351
label_ideology,Llama-3.1-8B-Instruct,bge/simple_hybrid,-0.573,-0.7154,0.1469,0.0585
label_ideology,Llama-3.1-8B-Instruct,bge/twostage,-0.5726,-0.7081,0.1101,0.0385
label_ideology,Llama-3.1-8B-Instruct,bge/twostage_hybrid,-0.5186,-0.6579,0.1165,0.0542
label_ideology,Llama-3.1-8B-Instruct,e5/hyde,-0.6197,-0.773,0.1435,0.0526
label_ideology,Llama-3.1-8B-Instruct,e5/simple,-0.5673,-0.6871,0.1132,0.0233
label_ideology,Llama-3.1-8B-Instruct,e5/twostage,-0.5347,-0.6595,0.1119,0.0172
label_ideology,Llama-3.1-8B-Instruct,jina/hyde,-0.5484,-0.6536,0.0875,0.0113
label_ideology,Llama-3.1-8B-Instruct,jina/simple,-0.5023,-0.6045,0.0877,0.0206
label_ideology,Llama-3.1-8B-Instruct,jina/twostage,-0.5021,-0.5965,0.0941,0.0294
label_ideology,Llama-3.1-8B-Instruct,qwen3/hyde,-0.6517,-0.8026,0.1628,0.0703
label_ideology,Llama-3.1-8B-Instruct,qwen3/simple,-0.6222,-0.7354,0.1463,0.0652
label_ideology,Llama-3.1-8B-Instruct,qwen3/twostage,-0.5983,-0.7141,0.1296,0.0525
label_ideology,Ministral-3-14B-Instruct-2512,bge/hyde,0.0265,0.1495,-0.0381,0.0013
label_ideology,Ministral-3-14B-Instruct-2512,bge/hyde_hybrid,0.0386,0.1534,-0.0402,-0.0031
label_ideology,Ministral-3-14B-Instruct-2512,bge/simple,-0.0247,0.0592,0.0027,0.03
label_ideology,Ministral-3-14B-Instruct-2512,bge/simple_hybrid,0.0047,0.0725,0.0071,0.0341
label_ideology,Ministral-3-14B-Instruct-2512,bge/twostage,-0.0146,0.0672,0.0059,0.047
label_ideology,Ministral-3-14B-Instruct-2512,bge/twostage_hybrid,-0.0166,0.0518,0.0107,0.0322
label_ideology,Ministral-3-14B-Instruct-2512,e5/hyde,-0.0238,0.0701,-0.004,0.0239
label_ideology,Ministral-3-14B-Instruct-2512,e5/simple,-0.0149,0.0522,0.015,0.0472
label_ideology,Ministral-3-14B-Instruct-2512,e5/twostage,-0.025,0.0354,0.0171,0.0473
label_ideology,Ministral-3-14B-Instruct-2512,jina/hyde,-0.0084,0.0773,0.0135,0.0679
label_ideology,Ministral-3-14B-Instruct-2512,jina/simple,0.0067,0.1036,-0.0067,0.0346
label_ideology,Ministral-3-14B-Instruct-2512,jina/twostage,0.009,0.092,-0.0026,0.0368
label_ideology,Ministral-3-14B-Instruct-2512,qwen3/hyde,0.0386,0.1495,-0.0304,0.0167
