Target,Model,Condition,N_samples,MAE,RMSE,Pearson_r,Spearman_rho
label_ideology,Llama-3.1-8B-Instruct,no_rag,775,1.6841,2.315,0.4617,0.4972
label_ideology,Ministral-3-8B-Instruct-2512,e5/hyde,755,1.3207,1.8794,0.5807,0.5732
label_ideology,Ministral-3-8B-Instruct-2512,e5/simple,760,1.3212,1.8763,0.5977,0.5874
label_ideology,Ministral-3-8B-Instruct-2512,e5/twostage,757,1.3742,1.97,0.576,0.5877
label_ideology,Ministral-3-8B-Instruct-2512,jina/hyde,763,1.3953,1.9909,0.5371,0.5412
label_ideology,Ministral-3-8B-Instruct-2512,jina/simple,759,1.3992,1.9706,0.5713,0.5676
label_ideology,Ministral-3-8B-Instruct-2512,jina/twostage,752,1.3352,1.9021,0.5868,0.5763
label_ideology,Ministral-3-8B-Instruct-2512,no_rag,775,1.3111,1.7298,0.6084,0.5872
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/hyde,775,1.3039,1.7168,0.6151,0.5918
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/simple,775,1.3048,1.7194,0.6141,0.5915
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/twostage,655,1.2748,1.67,0.6214,0.6015
label_ideology,Qwen2.5-7B-Instruct,no_rag,774,1.4363,1.7116,0.3646,0.2347
label_ideology,llama-3.1-70b-instruct,no_rag,775,0.9382,1.3376,0.6872,0.6262
label_ideology,mistral-large-2512,no_rag,775,1.0499,1.3229,0.7386,0.6906
label_ideology,qwen-2.5-72b-instruct,no_rag,440,1.2559,1.4824,0.7374,0.6487
