condition,retrieval_type,n,MAE,Pearson_r,Spearman_r
Overall,In-Party Match,21377,1.2463,0.5402,0.4817
Overall,Out-Party Noise,7703,1.618,0.2948,0.2507
bge/hyde,In-Party Match,1489,1.2369,0.5249,0.4741
bge/hyde,Out-Party Noise,550,1.5573,0.3118,0.2406
bge/hyde_hybrid,In-Party Match,1704,1.2828,0.4759,0.4267
bge/hyde_hybrid,Out-Party Noise,613,1.5098,0.381,0.3421
bge/simple,In-Party Match,1717,1.2077,0.5488,0.4952
bge/simple,Out-Party Noise,602,1.6415,0.2197,0.185
bge/simple_hybrid,In-Party Match,1693,1.2202,0.5612,0.5044
bge/simple_hybrid,Out-Party Noise,628,1.5842,0.2679,0.2162
bge/twostage,In-Party Match,1576,1.2265,0.5472,0.4923
bge/twostage,Out-Party Noise,548,1.5615,0.283,0.2228
bge/twostage_hybrid,In-Party Match,1106,1.2559,0.5236,0.4482
bge/twostage_hybrid,Out-Party Noise,442,1.5803,0.2907,0.2274
e5/hyde,In-Party Match,2173,1.2259,0.5339,0.4782
e5/hyde,Out-Party Noise,898,1.5294,0.4144,0.385
e5/simple,In-Party Match,2242,1.207,0.5788,0.5321
e5/simple,Out-Party Noise,828,1.6207,0.2939,0.268
e5/twostage,In-Party Match,2345,1.2281,0.5547,0.5198
e5/twostage,Out-Party Noise,729,1.6811,0.333,0.2921
jina/hyde,In-Party Match,739,1.1461,0.6268,0.6225
jina/hyde,Out-Party Noise,312,1.7135,0.2395,0.2277
jina/simple,In-Party Match,1678,1.2173,0.5904,0.5341
jina/simple,Out-Party Noise,624,1.7051,0.2357,0.2135
jina/twostage,In-Party Match,1126,1.3037,0.5476,0.4822
jina/twostage,Out-Party Noise,397,1.7617,0.2411,0.182
qwen3/hyde,In-Party Match,586,1.3998,0.4351,0.278
qwen3/hyde,Out-Party Noise,187,1.6578,0.2059,0.136
qwen3/simple,In-Party Match,607,1.4132,0.4234,0.2934
qwen3/simple,Out-Party Noise,168,1.6476,0.1511,0.0505
qwen3/twostage,In-Party Match,596,1.455,0.4001,0.2313
qwen3/twostage,Out-Party Noise,177,1.7989,0.0956,0.0671
