group,n,pearson_r,pearson_p,spearman_r,spearman_p
Global,29080,-0.1814,0.0,-0.2156,0.0
bge/hyde,2039,-0.1643,0.0,-0.2008,0.0
bge/hyde_hybrid,2317,-0.1456,0.0,-0.1696,0.0
bge/simple,2319,-0.1947,0.0,-0.242,0.0
bge/simple_hybrid,2321,-0.1993,0.0,-0.2294,0.0
bge/twostage,2124,-0.1388,0.0,-0.1734,0.0
bge/twostage_hybrid,1548,-0.1615,0.0,-0.1954,0.0
e5/hyde,3071,-0.176,0.0,-0.1777,0.0
e5/simple,3070,-0.2128,0.0,-0.2469,0.0
e5/twostage,3074,-0.2074,0.0,-0.2274,0.0
jina/hyde,1051,-0.2655,0.0,-0.3034,0.0
jina/simple,2302,-0.2421,0.0,-0.2702,0.0
jina/twostage,1523,-0.2037,0.0,-0.2656,0.0
qwen3/hyde,773,-0.0819,0.0227,-0.1559,0.0
qwen3/simple,775,-0.0728,0.0428,-0.1595,0.0
qwen3/twostage,773,-0.0945,0.0085,-0.1619,0.0
