condition,target_party,retrieved_party,proportion
bge/hyde,SPD,SPD,0.3079
bge/hyde,SPD,CDU/CSU,0.3476
bge/hyde,SPD,AfD,0.0461
bge/hyde,SPD,FDP,0.0806
bge/hyde,SPD,Greens,0.1504
bge/hyde,SPD,Left,0.0639
bge/hyde,SPD,Other,0.0035
bge/hyde,CDU/CSU,SPD,0.26
bge/hyde,CDU/CSU,CDU/CSU,0.3514
bge/hyde,CDU/CSU,AfD,0.07
bge/hyde,CDU/CSU,FDP,0.1371
bge/hyde,CDU/CSU,Greens,0.1343
bge/hyde,CDU/CSU,Left,0.04
bge/hyde,CDU/CSU,Other,0.0071
bge/hyde,AfD,SPD,0.169
bge/hyde,AfD,CDU/CSU,0.2079
bge/hyde,AfD,AfD,0.303
bge/hyde,AfD,FDP,0.0964
bge/hyde,AfD,Greens,0.095
bge/hyde,AfD,Left,0.1063
bge/hyde,AfD,Other,0.0224
bge/hyde,FDP,SPD,0.2805
bge/hyde,FDP,CDU/CSU,0.2701
bge/hyde,FDP,AfD,0.074
bge/hyde,FDP,FDP,0.1494
bge/hyde,FDP,Greens,0.1416
bge/hyde,FDP,Left,0.0766
bge/hyde,FDP,Other,0.0078
bge/hyde,Greens,SPD,0.2787
bge/hyde,Greens,CDU/CSU,0.2326
bge/hyde,Greens,AfD,0.0647
bge/hyde,Greens,FDP,0.1127
bge/hyde,Greens,Greens,0.2149
bge/hyde,Greens,Left,0.0897
bge/hyde,Greens,Other,0.0067
bge/hyde,Left,SPD,0.163
bge/hyde,Left,CDU/CSU,0.1403
bge/hyde,Left,AfD,0.1361
bge/hyde,Left,FDP,0.079
bge/hyde,Left,Greens,0.1462
bge/hyde,Left,Left,0.3231
bge/hyde,Left,Other,0.0122
bge/hyde_hybrid,SPD,SPD,0.3121
bge/hyde_hybrid,SPD,CDU/CSU,0.3475
bge/hyde_hybrid,SPD,AfD,0.0427
bge/hyde_hybrid,SPD,FDP,0.0851
bge/hyde_hybrid,SPD,Greens,0.1527
bge/hyde_hybrid,SPD,Left,0.0587
bge/hyde_hybrid,SPD,Other,0.0012
bge/hyde_hybrid,CDU/CSU,SPD,0.2928
bge/hyde_hybrid,CDU/CSU,CDU/CSU,0.3556
bge/hyde_hybrid,CDU/CSU,AfD,0.0614
bge/hyde_hybrid,CDU/CSU,FDP,0.1203
bge/hyde_hybrid,CDU/CSU,Greens,0.1163
bge/hyde_hybrid,CDU/CSU,Left,0.0458
bge/hyde_hybrid,CDU/CSU,Other,0.0078
bge/hyde_hybrid,AfD,SPD,0.1865
bge/hyde_hybrid,AfD,CDU/CSU,0.2246
bge/hyde_hybrid,AfD,AfD,0.2819
bge/hyde_hybrid,AfD,FDP,0.0918
bge/hyde_hybrid,AfD,Greens,0.114
bge/hyde_hybrid,AfD,Left,0.0877
bge/hyde_hybrid,AfD,Other,0.0135
bge/hyde_hybrid,FDP,SPD,0.2782
bge/hyde_hybrid,FDP,CDU/CSU,0.2701
bge/hyde_hybrid,FDP,AfD,0.0897
bge/hyde_hybrid,FDP,FDP,0.1494
bge/hyde_hybrid,FDP,Greens,0.1356
bge/hyde_hybrid,FDP,Left,0.0713
bge/hyde_hybrid,FDP,Other,0.0057
bge/hyde_hybrid,Greens,SPD,0.2615
bge/hyde_hybrid,Greens,CDU/CSU,0.2359
bge/hyde_hybrid,Greens,AfD,0.0624
bge/hyde_hybrid,Greens,FDP,0.1128
bge/hyde_hybrid,Greens,Greens,0.2338
bge/hyde_hybrid,Greens,Left,0.0821
bge/hyde_hybrid,Greens,Other,0.0115
bge/hyde_hybrid,Left,SPD,0.1799
bge/hyde_hybrid,Left,CDU/CSU,0.1393
bge/hyde_hybrid,Left,AfD,0.1181
bge/hyde_hybrid,Left,FDP,0.0842
bge/hyde_hybrid,Left,Greens,0.1389
bge/hyde_hybrid,Left,Left,0.3289
bge/hyde_hybrid,Left,Other,0.0108
bge/simple,SPD,SPD,0.3091
bge/simple,SPD,CDU/CSU,0.365
bge/simple,SPD,AfD,0.071
bge/simple,SPD,FDP,0.0737
bge/simple,SPD,Greens,0.1121
bge/simple,SPD,Left,0.0645
bge/simple,SPD,Other,0.0046
bge/simple,CDU/CSU,SPD,0.2275
bge/simple,CDU/CSU,CDU/CSU,0.3176
bge/simple,CDU/CSU,AfD,0.1059
bge/simple,CDU/CSU,FDP,0.1373
bge/simple,CDU/CSU,Greens,0.1529
bge/simple,CDU/CSU,Left,0.0431
bge/simple,CDU/CSU,Other,0.0157
bge/simple,AfD,SPD,0.1614
bge/simple,AfD,CDU/CSU,0.1842
bge/simple,AfD,AfD,0.3708
bge/simple,AfD,FDP,0.0807
bge/simple,AfD,Greens,0.0632
bge/simple,AfD,Left,0.1205
bge/simple,AfD,Other,0.0193
bge/simple,FDP,SPD,0.2448
bge/simple,FDP,CDU/CSU,0.2759
bge/simple,FDP,AfD,0.1069
bge/simple,FDP,FDP,0.1276
bge/simple,FDP,Greens,0.1483
bge/simple,FDP,Left,0.0931
bge/simple,FDP,Other,0.0034
bge/simple,Greens,SPD,0.265
bge/simple,Greens,CDU/CSU,0.2107
bge/simple,Greens,AfD,0.0645
bge/simple,Greens,FDP,0.1218
bge/simple,Greens,Greens,0.2308
bge/simple,Greens,Left,0.0983
bge/simple,Greens,Other,0.009
bge/simple,Left,SPD,0.1799
bge/simple,Left,CDU/CSU,0.13
bge/simple,Left,AfD,0.1315
bge/simple,Left,FDP,0.0704
bge/simple,Left,Greens,0.1441
bge/simple,Left,Left,0.3307
bge/simple,Left,Other,0.0134
bge/simple_hybrid,SPD,SPD,0.3029
bge/simple_hybrid,SPD,CDU/CSU,0.325
bge/simple_hybrid,SPD,AfD,0.0851
bge/simple_hybrid,SPD,FDP,0.079
bge/simple_hybrid,SPD,Greens,0.1318
bge/simple_hybrid,SPD,Left,0.0719
bge/simple_hybrid,SPD,Other,0.0043
bge/simple_hybrid,CDU/CSU,SPD,0.2366
bge/simple_hybrid,CDU/CSU,CDU/CSU,0.2993
bge/simple_hybrid,CDU/CSU,AfD,0.1464
bge/simple_hybrid,CDU/CSU,FDP,0.1072
bge/simple_hybrid,CDU/CSU,Greens,0.1255
bge/simple_hybrid,CDU/CSU,Left,0.0497
bge/simple_hybrid,CDU/CSU,Other,0.0353
bge/simple_hybrid,AfD,SPD,0.1374
bge/simple_hybrid,AfD,CDU/CSU,0.1895
bge/simple_hybrid,AfD,AfD,0.3865
bge/simple_hybrid,AfD,FDP,0.0819
bge/simple_hybrid,AfD,Greens,0.0877
bge/simple_hybrid,AfD,Left,0.1012
bge/simple_hybrid,AfD,Other,0.0158
bge/simple_hybrid,FDP,SPD,0.2276
bge/simple_hybrid,FDP,CDU/CSU,0.2529
bge/simple_hybrid,FDP,AfD,0.108
bge/simple_hybrid,FDP,FDP,0.1575
bge/simple_hybrid,FDP,Greens,0.1609
bge/simple_hybrid,FDP,Left,0.0862
bge/simple_hybrid,FDP,Other,0.0069
bge/simple_hybrid,Greens,SPD,0.2372
bge/simple_hybrid,Greens,CDU/CSU,0.2312
bge/simple_hybrid,Greens,AfD,0.0868
bge/simple_hybrid,Greens,FDP,0.1179
bge/simple_hybrid,Greens,Greens,0.2094
bge/simple_hybrid,Greens,Left,0.1085
bge/simple_hybrid,Greens,Other,0.009
bge/simple_hybrid,Left,SPD,0.1926
bge/simple_hybrid,Left,CDU/CSU,0.1307
bge/simple_hybrid,Left,AfD,0.1393
bge/simple_hybrid,Left,FDP,0.0693
bge/simple_hybrid,Left,Greens,0.1374
bge/simple_hybrid,Left,Left,0.3147
bge/simple_hybrid,Left,Other,0.016
bge/twostage,SPD,SPD,0.2983
bge/twostage,SPD,CDU/CSU,0.3633
bge/twostage,SPD,AfD,0.063
bge/twostage,SPD,FDP,0.0761
bge/twostage,SPD,Greens,0.1316
bge/twostage,SPD,Left,0.066
bge/twostage,SPD,Other,0.0017
bge/twostage,CDU/CSU,SPD,0.2183
bge/twostage,CDU/CSU,CDU/CSU,0.3521
bge/twostage,CDU/CSU,AfD,0.0901
bge/twostage,CDU/CSU,FDP,0.1155
bge/twostage,CDU/CSU,Greens,0.1606
bge/twostage,CDU/CSU,Left,0.0437
