condition,retrieval_type,n,MAE,Pearson_r
Overall,In-Party Match,3333,1.1931,0.6494
Overall,Out-Party Noise,1207,1.8133,0.3546
e5/hyde,In-Party Match,545,1.2053,0.6434
e5/hyde,Out-Party Noise,210,1.62,0.4177
e5/simple,In-Party Match,556,1.1651,0.664
e5/simple,Out-Party Noise,204,1.7466,0.3979
e5/twostage,In-Party Match,577,1.2173,0.629
e5/twostage,Out-Party Noise,180,1.8772,0.4403
jina/hyde,In-Party Match,545,1.2121,0.6295
jina/hyde,Out-Party Noise,216,1.8597,0.2333
jina/simple,In-Party Match,552,1.1989,0.6626
jina/simple,Out-Party Noise,205,1.941,0.2983
jina/twostage,In-Party Match,558,1.1597,0.669
jina/twostage,Out-Party Noise,192,1.8474,0.3348
