embedding_model,retrieval_mode,score_type,n_queries,mean_top1,mean_top5,mean_range,median_range,std_range,mean_variance,median_variance,std_variance,mean_abs_error,median_abs_error,std_abs_error,mean_range_norm,median_range_norm,std_range_norm,mean_variance_norm,median_variance_norm,std_variance_norm
bge,hyde,cosine,2063,0.7275,0.7037,0.0238,0.0205,0.0147,0.0001,0.0001,0.0002,1.3233,1.1,1.1511,0.0747,0.0643,0.0462,0.0013,0.0007,0.0019
bge,hyde_hybrid,cosine,2325,0.7294,0.7055,0.0239,0.0204,0.015,0.0001,0.0001,0.0002,1.3429,1.1,1.2155,0.0762,0.0651,0.0478,0.0014,0.0007,0.0022
bge,simple,cosine,2325,0.6692,0.641,0.0282,0.0242,0.0177,0.0002,0.0001,0.0003,1.3204,1.1,1.1914,0.0922,0.079,0.0579,0.0021,0.0011,0.0034
bge,simple_hybrid,rrf_fusion,2325,0.6116,0.2728,0.3389,0.25,0.1606,0.0253,0.0125,0.0251,1.3187,1.1,1.1625,0.4236,0.3125,0.2007,0.0396,0.0195,0.0392
bge,twostage,cross_encoder,2130,0.5095,-1.9735,2.483,2.1277,1.5602,1.4646,0.7976,2.2554,1.3129,1.1,1.1652,0.1399,0.1199,0.0879,0.0046,0.0025,0.0072
bge,twostage_hybrid,cross_encoder,1549,0.7867,-1.6574,2.4441,2.1486,1.4256,1.354,0.7807,1.8875,1.3485,1.1,1.2426,0.1456,0.128,0.0849,0.0048,0.0028,0.0067
e5,hyde,cosine,3100,0.9342,0.9292,0.005,0.0044,0.0028,0.0,0.0,0.0,1.3147,1.0,1.2094,0.0751,0.0664,0.0425,0.0013,0.0008,0.0016
e5,simple,cosine,3100,0.9188,0.9126,0.0062,0.0054,0.0036,0.0,0.0,0.0,1.3185,1.0,1.2147,0.0949,0.0833,0.0548,0.0021,0.0012,0.0029
e5,twostage,cross_encoder,3099,0.1748,-2.1211,2.2959,1.991,1.4153,1.26,0.6837,2.0818,1.3355,1.0,1.2361,0.1377,0.1194,0.0849,0.0045,0.0025,0.0075
jina,hyde,cosine,1517,0.7888,0.7689,0.02,0.0176,0.0119,0.0001,0.0001,0.0001,1.3146,0.8,1.3658,0.0583,0.0514,0.0348,0.0008,0.0005,0.0011
jina,simple,cosine,2319,0.749,0.7264,0.0225,0.0203,0.0134,0.0001,0.0001,0.0002,1.3496,1.0,1.2996,0.0703,0.0634,0.0417,0.0012,0.0007,0.0016
jina,twostage,cross_encoder,1546,0.4181,-1.9718,2.3899,2.0455,1.4172,1.3213,0.6987,1.8805,1.4231,0.9,1.3235,0.1333,0.1141,0.079,0.0041,0.0022,0.0059
qwen3,hyde,cosine,774,0.6825,0.6477,0.0348,0.0307,0.0194,0.0003,0.0002,0.0004,1.4622,1.1,1.204,0.0952,0.084,0.0532,0.0021,0.0012,0.0032
qwen3,simple,cosine,775,0.6588,0.6191,0.0398,0.0347,0.0239,0.0004,0.0002,0.0005,1.464,1.1,1.2436,0.1047,0.0913,0.0628,0.0026,0.0015,0.0037
qwen3,twostage,cross_encoder,775,0.3185,-1.9571,2.2756,1.9563,1.4103,1.2354,0.6445,2.0233,1.5338,1.1,1.2841,0.1374,0.1181,0.0852,0.0045,0.0024,0.0074
