std_party,year,lrecon,galtan,lrgen
CDU,1999,5.666666507720947,6.333333492279053,5.866666793823242
FDP,1999,7.266666889190674,3.0,6.066666603088379
CSU,1999,6.533333301544189,7.800000190734863,7.199999809265137
DIE LINKE,1999,1.0,3.333333253860474,1.266666650772095
SPD,1999,4.066666603088379,3.599999904632568,4.0
BÜNDNIS 90/DIE GRÜNEN,1999,3.533333301544189,1.200000047683716,3.0
CSU,2002,6.21,7.64,7.36
SPD,2002,3.57,4.57,4.0
CDU,2002,5.86,6.64,5.93
FDP,2002,7.64,3.57,6.07
BÜNDNIS 90/DIE GRÜNEN,2002,4.5,1.93,3.36
DIE LINKE,2002,1.29,4.27,1.64
CDU,2006,6.82,6.91,6.36
DIE LINKE,2006,0.91,3.18,1.27
BÜNDNIS 90/DIE GRÜNEN,2006,4.0,1.45,3.09
FDP,2006,8.64,3.45,6.64
CSU,2006,6.45,8.18,7.64
SPD,2006,3.36,4.45,3.55
BÜNDNIS 90/DIE GRÜNEN,2010,3.875,1.875,3.625
CSU,2010,5.5,7.125,7.066666603088379
SPD,2010,3.0,4.5,3.625
FDP,2010,8.1875,3.533333301544189,6.599999904632568
CDU,2010,6.0,6.25,6.125
DIE LINKE,2010,1.0,4.615384578704834,1.3125
SPD,2014,3.5,4.153846263885498,3.769230842590332
DIE LINKE,2014,1.25,4.92307710647583,1.230769276618958
CDU,2014,5.916666507720947,6.0,5.92307710647583
AfD,2014,8.333333015441895,8.692307472229004,8.923076629638672
FDP,2014,8.0,3.384615421295166,6.538461685180664
CSU,2014,6.083333492279053,7.92307710647583,7.230769157409668
BÜNDNIS 90/DIE GRÜNEN,2014,3.5,2.153846263885498,3.615384578704834
CSU,2019,6.38095235824585,7.285714149475098,7.190476417541504
AfD,2019,7.0,9.523809432983398,9.2380952835083
FDP,2019,7.904761791229248,3.428571462631226,6.428571224212646
CDU,2019,5.904761791229248,5.857142925262451,5.857142925262451
DIE LINKE,2019,1.285714268684387,2.809523820877075,1.428571462631226
BÜNDNIS 90/DIE GRÜNEN,2019,3.809523820877075,1.095238089561462,3.238095283508301
SPD,2019,3.714285612106323,3.38095235824585,3.61904764175415
BÜNDNIS 90/DIE GRÜNEN,2024,3.368421077728271,1.611111164093018,3.055555582046509
FDP,2024,7.5789475440979,3.222222328186035,6.05555534362793
BSW,2024,2.777777671813965,7.0625,3.625
SPD,2024,3.473684310913086,3.611111164093018,3.473684310913086
CSU,2024,6.769230842590332,7.538461685180664,7.571428775787354
DIE LINKE,2024,1.368421077728271,2.29411768913269,1.421052575111389
CDU,2024,6.5789475440979,6.55555534362793,6.5789475440979
AfD,2024,7.631578922271729,9.38888931274414,9.263157844543455
