"index","article_source","media_label","party_label_ideology","party_label_economic","party_label_galtan","final_label_ideology","final_label_economic","final_label_galtan","site_content","social_media_handle","social_media","party","post_content","article_url","article_title","stance","class_ideology","class_economic","class_social","split"
"642","t-online","1.0","2.7","2.7","2.7","1.8","1.8","1.8","In Köln-Chorweiler gibt es großen Andrang auf die mobile Impfstation. Dort lässt die Stadt derzeit Anwohner direkt vor ihrer Haustür impfen. Doch das Pionierprojekt wird unerwartet ausgebremst – wie es kommende Woche weitergeht,  ist unklar.Seit Montag impft ein mobiles Team Bewohnerinnen und Bewohner des Kölner Stadtteils Chorweiler gegen das Coronavirus. Ohne Termin,  ohne viel Papierkram. Impfwillige müssen lediglich einen Personalausweis vorzeigen und Geduld mitbringen,  denn für einen Termin müssen sie sich anstellen.Und der Andrang auf den Impfbus auf dem Liverpooler Platz inmitten der Hochhäuser in Chorweiler ist groß: Lange Schlangen bildeten sich vor der Impfstation. Offenbar gibt es nun ein Problem mit dem Impfstoff – denn dieser wird knapp.Wie der WDR berichtet,  hat Oberbürgermeisterin Henriette Reker an das Land geschrieben und mehr Impfdosen für die Schwerpunktaktion gefordert. Sonst müsse diese abgebrochen werden,  heißt es.Hatte am Montag noch Jürgen Zastrow,  Leiter der Kassenärztlichen Vereinigung Nordrhein (KVNO) verkündet,  ""wir haben Impfstoff ohne Ende"",  so sind die Impfdosen nun offenbar bald weg. Zwischenzeitlich war unsicher,  ob es am Freitag weitergehen kann. Mittlerweile ist die Fortsetzung jedoch gesichert: Im Caritas-Zentrum in Meschenich wird die Stadt Impfungen anbieten können,  wie geplant am Freitag und am Samstag. Sie bestehen aus Resten eines Zusatzkontingents des Landes sowie Überhang-Kapazitäten aus dem Kölner Impfzentrum,  teilte die Stadt am Donnerstagabend mit.Wie es in der kommenden Woche weitergeht,  ist noch unklar. ""Wir können 1.000 Personen am Tag impfen"",  sagte Zastrow. Das Modellprojekt sollte auf weitere Stadtteile wie Finkenberg und Kalk ausgeweitet werden – vorausgesetzt,  es gibt dann etwas zum Verimpfen.Wo kam der Impfstoff her?Im Impfbus in Köln wurde bislang ausschließlich mit dem Impfstoff von Moderna geimpft. Die Dosen kamen aus dem Kölner Impfzentrum,  sagt Zastrow. Es waren Restdosen,  die nicht verimpft wurden. Doch mit den zusätzlichen Impfungen sind die Überschüsse nun weg. Wo soll also der Impfstoff für die Sonderimpfaktionen herkommen?Am Mittwoch hatte NRW-Gesundheitsminister Karl-Josef Laumann (CDU) angekündigt,  100.000 Impfdosen für Schwerpunkt-Impfungen in Brennpunkten landesweit zur Verfügung zu stellen. Denn das Kölner Modellprojekt hat Zuspruch bekommen – es kam sowohl in der Bevölkerung vor Ort als auch in der Politik gut an. Doch nun droht dem Vorreiter,  ausgebremst zu werden.Denn der Impfstoff steht nicht sofort zur Verfügung: Erst ab kommender Woche sollen zunächst 33.000 Dosen Johnson & Johnson für benachteiligte Stadtteile in ganz NRW zur bereit gestellt werden. Wohin genau sie gehen sollen,  ist noch überhaupt nicht geklärt. Das weitere Vorgehen werde erst in der kommenden Woche fixiert,  heißt es aus dem Ministerium. Man werde ""mit einem gesonderten Erlass auf die Kreise und kreisfreien Städte zugehen"" und dabei auch die Verteilung der Impfdosen kommunizieren.Wie geht es in Köln weiter?Impfarzt Zastrow rechnete am Donerstagmorgen mit 5.000 Dosen für Köln aus dem angekündigten NRW-Kontingent – für den Monat Mai. Doch eine solche Menge benötige man in Köln in einer Woche,  wenn alle Hotspots versorgt werden sollen,  so der Mediziner.Zastrow verlangte eine schnelle Entscheidung des Ministeriums. Es nütze nichts,  sagt er,  wenn Politiker begeistert von der Aktion sind,  diese dann aber letztendlich in den Ministerien von der Bürokratie ausgebremst werde. Neben Chorweiler gibt es laut Zastrow sieben weitere Corona-Hotspots in Köln,  in denen der Impfbus eingesetzt werden soll. Doch dazu braucht es nun mehr Impfstoff – ""50.000 Dosen allein für Köln"",  sagt Zastrow.","Karl_Lauterbach","X","SPD","Das wichtige Impfprojekt in Kölner Brennpunkten soll nicht weiter gehen weil kein Impfstoff vom Land dafür vergeben wird. Das ist klar ein Fehler. Brennpunkte tragen das höchste Risiko und nirgendwo ist Impfstoff nötiger. Brennpunkten schulden wir Hilfe","https://t-online.de/region/koeln/news/id_89982002/corona-in-koeln-brennpunkt-impfbus-ausgebremst-weil-impfstoff-fehlt.html","Corona in Köln: Brennpunkt-Impfbus ausgebremst – weil Impfstoff fehlt","pro","linkes","linkes","linkes","train"
"334","welt","4.8","4.7","4.7","4.7","4.0","4.0","4.0","Seitdem das Flüchtlingslager in Moria abgebrannt ist,  ringen Politiker aus Deutschland und der EU um eine gemeinsame Lösung. Bundeskanzlerin Merkel unterstützt die Idee,  ein neues Flüchtlingslager unter EU-Führung auf Lesbos zu errichten.Nach dem Brand im Flüchtlingslager Moria geht die Debatte über die Aufnahme von Flüchtlingen in Deutschland weiter. Der Städtetag drängt zum Handeln. CDU-Politiker Friedrich Merz kritisiert den „Überbietungswettbewerb“.Der Deutsche Städtetag hat die Bundesregierung zu einer „mutigen Entscheidung“ über die Aufnahme von weiteren Schutzsuchenden aus dem griechischen Flüchtlingslager Moria aufgefordert. Städtetagspräsident Burkhard Jung sagte der Deutschen Presse-Agentur: „Viele deutsche Städte stehen bereit,  sofort Menschen aus Moria aufzunehmen. Es geht hier um eine akute Notlage. Deshalb dürfen wir nicht zögern.“ In der Bundesregierung laufen Gespräche über die Aufnahme weiterer Schutzsuchender aus dem durch Feuer zerstörten Flüchtlingslager Moria. Kanzlerin Angela Merkel (CDU) will eine Entscheidung bis zur Kabinettssitzung am Mittwoch. Die Bundesregierung strebe weiterhin eine europäische Lösung an. Das Thema dürfte auch bei den Fraktionssitzungen im Bundestag am Dienstag eine wichtige Rolle spielen. Berlins Innensenator Andreas Geisel (SPD) will sich am Dienstag in Athen über die Lage in den griechischen Flüchtlingslagern informieren.Der Kandidat für den CDU-Vorsitz,  Friedrich Merz,  glaubt nicht an eine europäische Lösung bei der Verteilung von Flüchtlingen auf der griechischen Insel Lesbos. „Wenn ich es richtig sehe,  hat Griechenland bisher nicht darum gebeten,  Flüchtlinge aus Lesbos in der Europäischen Union aufzunehmen und auf einzelne Länder zu verteilen“,  sagte Merz der Deutschen Presse-Agentur. „Außer Luxemburg und Deutschland ist dazu ohnehin zum gegenwärtigen Zeitpunkt kein anderes Mitgliedsland der EU bereit. Es macht daher weder Sinn,  weiter nach einer ‚europäischen Lösung‘ zur Verteilung zu suchen,  noch in einen Überbietungswettbewerb in Deutschland einzutreten,  wie viele Migranten wir denn aufnehmen sollen.“Noch seien die Bilder von 2015 in Erinnerung und auch der Satz,  „dass sich diese Lage nicht wiederholen darf“,  sagte der frühere Unionsfraktionsvorsitzende,  der sich damit erstmals zu dem Thema positionierte.Merz argumentierte weiter,  er sehe „zwei Wege zur Lösung des Problems: Wir helfen den Griechen erstens mit allen Mitteln,  die wir haben,  die Flüchtlinge dort menschenwürdig unterzubringen. Dazu haben wir mit dem Roten Kreuz und dem Technischen Hilfswerk (THW) bestens ausgebildete und ausgerüstete Hilfsorganisationen.“ Zudem sollte man mit Griechenland „der bereits im Europäischen Parlament diskutierten Option nähertreten,  stillgelegte Kreuzfahrtschiffe für die zeitweise Unterbringung an den Außengrenzen der EU zu nutzen. Diese Schiffe könnten dann auch zur Durchführung der Asylverfahren genutzt werden.“Der innenpolitische Sprecher der Unionsfraktion,  Mathias Middelberg,  widersprach und warnte vor einem deutschen Alleingang. „Deutschland darf es nicht allein machen“,  sagte Middelberg am Dienstag im ARD-„Morgenmagazin“. Mit einem deutschen Alleingang würde das „falsche Signal“ gesetzt. Er sei dafür,  dass in der EU „möglichst viele im Gleichschritt“ vorangehen. Kühnert fordert Seehofer-Rücktritt Innenminister Horst Seehofer (CSU) hatte am Freitag mitgeteilt,  Deutschland werde von insgesamt 400 unbegleiteten Minderjährigen,  die aus Griechenland in andere europäische Länder gebracht werden sollen,  100 bis 150 Jugendliche aufnehmen. Zudem wolle man in einem zweiten Schritt mit Athen über die Aufnahme von Familien mit Kindern sprechen. Die SPD fordert eine bundesweite Initiative für die Aufnahme von deutlich mehr Migranten aus dem abgebrannten Lager Moria als geplant. SPD-Vizechef und Juso-Vorsitzender Kevin Kühnert forderte Seehofer gar zum Rücktritt auf,  sollte dieser seine Haltung in der Frage der Aufnahme von Flüchtlingen aus Moria nicht ändern. Kühnert sagte der „Rheinischen Post“ (Dienstag),  dass die SPD der Union „nun 48 Stunden Zeit gegeben“ habe,  „um sich endlich zu besinnen und zu praktikablen Vorschlägen zur Beendigung des Elends zu kommen“. Von Seehofer forderte er,  dieser müsse endlich seine Blockade aufgeben und die Hilfe derer zulassen,  die helfen wollten und könnten. Griechenland will die Migranten trotz der schwierigen Situation auf Lesbos nicht zum Festland bringen oder gar gruppenweise nach Deutschland schicken – jedenfalls nicht ohne positiven Asylbescheid. Es besteht die Furcht vor einem falschen Signal,  das Migranten auch zu Brandstiftungen in anderen Lagern bewegen könnte.","_FriedrichMerz","X","CDU","„Wenn ich es richtig sehe,  hat #Griechenland bisher nicht darum gebeten,  Flüchtlinge aus #Moria in der #EU aufzunehmen und zu verteilen. Außer Luxemburg und Deutschland ist dazu ohnehin gegenwärtig kein anderes EU-Mitgliedsland bereit.“ (tm)","https://welt.de/politik/deutschland/article215736650/Moria-Macht-keinen-Sinn-Merz-positioniert-sich-zu-europaeischer-Loesung.html","Moria: „Macht keinen Sinn“ – Merz positioniert sich zu europäischer Lösung","contra","mitte","mitte","mitte","train"
"68","Spiegel","3.5","2.4","2.6","1.4","3.0","3.0","2.4","Das bayerische Landeskriminalamt (LKA) hat drei Menschen festgenommen, die zur Gruppe mutmaßlicher »Reichsbürger« um Heinrich XIII. Prinz Reuß gehören sollen. Ihnen werde vorgeworfen, Mitglieder einer terroristischen Vereinigung zu sein und sich zum Ziel gesetzt zu haben, die staatliche Ordnung gewaltsam zu beseitigen, teilte das LKA mit. In den Morgenstunden hatte es zuvor Durchsuchungen in Bayern , Sachsen und Thüringen gegeben. Nach SPIEGEL-Informationen erfolgten die drei Festnahmen im bayerischen Landkreis Forchheim sowie in Sachsen im Erzgebirgskreis und in Chemnitz. Die Durchsuchungen richteten sich demnach gegen insgesamt sechs Beschuldigte. Dabei handele es sich um fünf Männer und eine Frau im Alter von 40 bis 61 Jahren. Gegen die drei festgenommenen Männer waren der Mitteilung zufolge vor der Durchsuchungsaktion schon Haftbefehle erlassen worden. Die drei festgenommenen Männer sollen wie andere mutmaßliche Unterstützer der Gruppe im April 2022 auf einer ehemaligen Schießanlage der Bundeswehr nahe Bayreuth in Oberfranken an einem Schießtraining teilgenommen haben. Nach derzeitigen Erkenntnissen gehen die Ermittler davon aus, dass die Übungen zur Vorbereitung eines möglichen Angriffs auf den Deutschen Bundestag dienen sollten. Bei den Durchsuchungen wurden laut LKA unter anderem Gegenstände sichergestellt, die dem Waffengesetz unterliegen – aber auch Datenträger, die jetzt auf Beweismittel ausgewertet werden müssen. Scharfe Schusswaffen wurden nach SPIEGEL-Informationen bei der Razzia in Bayern offenbar bislang nicht entdeckt. Bis zu einer rechtskräftigen Verurteilung gelte für die Verdächtigen die Unschuldsvermutung. Laut LKA waren bei der Aktion am Morgen etwa 300 Polizisten im Einsatz. Gegen die »Reichsbürger«-Gruppe Reuß laufen derzeit bundesweit drei große Terrorprozesse. Die Gruppe war nach einer Razzia Ende 2022 bekannt geworden. Die Beschuldigten sollen einen gewaltsamen Umsturz der Bundesregierung geplant und dabei bewusst Tote in Kauf genommen haben. Als Oberhaupt einer neuen Staatsform hätte Heinrich XIII. Prinz Reuß fungieren sollen.","konstantin-von-notz","LinkedIn","Bündnis 90 Die Grünen","Weitere Verhaftungen in den Hashtag#Terrorermittlungen gegen die Gruppe Prinz Hashtag#Reuss Wer sich für die Hashtag#Russland- und Hashtag#AfD-Verbindungen interessiert, kann hier nochmal nachlesen. https://lnkd.in/eP_Qw55x https://lnkd.in/eJM4kD_4 https://lnkd.in/eScXaVuT","https://www.spiegel.de/panorama/justiz/reichsbuerger-drei-mutmassliche-mitglieder-der-gruppe-um-heinrich-xiii-prinz-reuss-festgenommen-a-e61b97db-6501-49ce-a8a5-eec6c305ee96?sara_ref=re-so-app-sh","Drei mutmaßliche Mitglieder der »Reichsbürger«-Gruppe um Prinz Reuß festgenommen","neutral","mitte","mitte","linkes","train"
"683","n-tv","4.3","2.7","2.7","2.7","4.8","4.8","4.8","Der nächstmögliche Urlaub ist für viele der Winterurlaub - wenn denn die Pandemie keinen Strich durch die Rechnung macht. Zumindest Österreichs Bundeskanzler Kurz stellt eine sichere Skisaison in Aussicht. Dessen Prognosen und Plänen widerspricht der SPD-Gesundheitsexperte Lauterbach.SPD-Gesundheitsexperte Karl Lauterbach hat mit Befremden auf Äußerungen des österreichischen Bundeskanzlers Sebastian Kurz reagiert,  der eine sichere Wintersaison versprochen und Après-Ski nur für Geimpfte in Aussicht gestellt hatte. ""Wie die nächste Wintersaison aussehen wird,  kann zum jetzigen Zeitpunkt niemand seriös vorhersagen - auch nicht der österreichische Bundeskanzler"",  sagte Lauterbach den Zeitungen der Funke-Mediengruppe. ""In Innenräumen haben wir jetzt schon viele Ansteckungen auch unter Geimpften. Diese Fälle werden noch zunehmen,  wenn der Impfschutz nachlässt.""Lauterbach betonte: ""Ob überhaupt an Après-Ski oder ähnliches zu denken ist,  wird nicht zuletzt von Booster-Impfungen oder von weiterentwickelten Impfstoffen abhängen.""Österreichs Kanzler Kurz hatte eine sichere Skisaison in Aussicht gestellt: ""Wir werden mit klaren Regeln für eine sichere Wintersaison sorgen."" Bei steigender Belastung durch die Pandemie werde es ""in der Nachgastronomie - also beim Après-Ski - nur noch Zugang für Geimpfte geben"". Schon jetzt arbeite Österreich mit der 3G-Regel,  fügte Kurz hinzu. Zutritt in Gastronomie oder Hotellerie sei nur für Geimpfte,  Genesene und Getestete möglich. Und bei den Tests sei sein Land ""unter den Weltführern"".Lauterbach ruft Ischgl in ErinnerungDie Hütten auf den Pisten würden in der kommenden Saison wieder geöffnet,  kündigte der Kanzler an. ""In Österreich sind über 70 Prozent der impfbaren Bevölkerung geimpft. Die überwiegende Masse der Touristen,  die zu uns kommen wollen,  sind ebenfalls geimpft. Insofern steht einem sicheren Urlaub in Österreich nichts im Wege.""Lauterbach entgegnete,  er würde aus heutiger Sicht ""eher davon abraten,  unter Ischgl-ähnlichen Bedingungen zu feiern"". Zumindest für Ältere und für Menschen mit Risikofaktoren scheine das riskant. Der österreichische Skiort Ischgl ist für seine Parties bekannt und war im vergangenen Jahr zum Corona-Hotspot geworden.","Karl_Lauterbach","X","SPD","Jetzt wird schon angesagt,  Après-Ski müsse auf jeden Fall gehen. Dabei ist voll unklar,  ob im Winter in Innenräumen die Delta Variante das zulässt. Es könnte zahlreiche Durchbruchinfektionen in Ischgl Verhältnissen geben.","https://n-tv.de/politik/Lauterbach-mit-anderer-Skiurlaub-Prognose-article22813463.html","Après-Ski-Versprechen von Kurz: Lauterbach mit anderer Skiurlaub-Prognose","contra","rechts","rechts","rechts","train"
"399","zeit","3.6","4.3","5.4","2.5","3.6","3.1","4.6","In einem erstmals erstellten Lagebild zu Rechtsextremisten in den deutschen Sicherheitsbehörden hat das Bundesamt für Verfassungsschutz (BfV) nach einem Bericht der Welt am Sonntag mehr als 350 Verdachtsfälle zusammengetragen. Der etwa 100 Seiten umfassende vertrauliche Bericht behandele Vorfälle aus dem Zeitraum von Anfang Januar 2017 bis Ende März 2020,  meldet die Zeitung. Das Lagebild solle im Oktober offiziell vorgelegt werden.Neben dem Bundesnachrichtendienst,  dem Militärischen Abschirmdienst,  dem Bundeskriminalamt und der Bundespolizei betreffe das Lagebild demnach auch Fälle aus den 16 Länderpolizeien und den Verfassungsschutzämtern. Die Zusammenstellung beruht dem Bericht zufolge auf Meldungen der einzelnen Behörden an das Bundesamt für Verfassungsschutz.Laut der Zeitung fehlen in dem Papier jedoch Vorfälle wie die Drohmails unter dem Namen NSU 2.0,  für die mutmaßlich Adressdaten aus Polizeicomputer abgerufen wurden,  rechtsextreme Chats von Polizisten in Mecklenburg-Vorpommern sowie die jüngst bekannt gewordenen rassistischen Chatnachrichten von Polizisten aus dem nordrhein-westfälischen Mülheim.NRW-Innenminister Herbert Reul (CDU) hat vergangene Woche in einem Bericht an den Düsseldorfer Landtag mitgeteilt,  allein bei der nordrhein-westfälischen Polizei seien seit 2017 insgesamt 100 Mitarbeiter unter den Verdacht des Rassismus oder Rechtsextremismus geraten. Hinzu kämen vier Fälle im Landesinnenministerium.","KonstantinKuhle","X","FDP","Spannend - erst verspätet sich das Lagebild zum Thema “Rechtsextremismus im öffentlichen Dienst”. Dann stellt sich heraus,  dass die Zahlen nicht aktuell sind. Vorgestellt wird das Papier natürlich nicht im Innenausschuss,  sondern in der “Welt am Sonntag”.","https://zeit.de/gesellschaft/zeitgeschehen/2020-09/verfassungsschutz-rechtsextremismus-verdachtsfaelle-polizei-mad-sicherheitsbehoerden?wt_zmc=sm.ext.zonaudev.twitter.ref.zeitde.share.link.x","Verfassungsschutz: Amt zählt 350 rechtsextreme Verdachtsfälle in Sicherheitsbehörden","contra","mitte","mitte","rechts","train"
"216","spiegel","3.5","2.4","2.6","1.4","3.0","3.0","2.4","Schon in der Nacht begannen die Behörden laut griechischen Medienberichten mit der Evakuierung des Lagers,  nachdem Wohncontainer Feuer gefangen hatten. Über Verletzte oder gar Tote gab es zunächst keine Informationen.Vorangegangen waren Unruhen unter den Migranten,  weil das Lager seit voriger Woche nach einem ersten Corona-Fall unter Quarantäne gestellt worden war. Am Dienstag wurde dann bekannt,  dass die Zahl der Infizierten bei 35 liege.","GoeringEckardt","X","B90Grune","Das völlig überfüllte Lager #Moria steht in Brand. Es hätte längst evakuiert werden müssen. Kommunen,  Länder in D waren und sind bereit. #BMI #seebruecke     #LeaveNoOneBehind   Griechenland: Flüchtlingslager Moria steht in Flammen - DER SPIEGEL","https://spiegel.de/ausland/fluechtlingslager-moria-steht-fast-vollstaendig-in-flammen-a-91139977-69c6-47bc-9401-41d079e4beee","Griechenland: Flüchtlingslager Moria steht in Flammen","pro","mitte","mitte","linkes","train"
"807","spiegel","3.5","2.7","2.7","2.7","3.1","3.1","3.1","Die Stiko wies nun als Empfehlung folgende Abstände zwischen den zwei erforderlichen Impfstoffdosen aus: drei bis sechs Wochen bei Biontech/Pfizer,  vier bis sechs Wochen bei Moderna,  neun bis zwölf Wochen bei AstraZeneca (falls noch jemand zweifach damit geimpft werden sollte) und »ab vier Wochen« bei der Kombination aus AstraZeneca und mRNA-Impfstoff.Kombi-Impfung gut verträglich","Karl_Lauterbach","X","SPD","Die Empfehlung,  nach erster AstraZeneca Impfung eine BionTech oder Moderna Zweitimpfung zu machen,  ist richtig. Ich habe selbst auch nach meiner AstraZeneca Erstimpfung mit BionTech nachgelegt. Der Schutz ist einfach besser.","https://spiegel.de/wissenschaft/medizin/corona-impfungen-impfkommission-aendert-empfehlung-fuer-astrazeneca-erstgeimpfte-a-3ac8abc6-68ef-4391-a7a1-94abce106842?sara_ecid=soci_upd_KsBF0AFjflf0DZCxpPYDCQgO1dEMph","Coronaimpfungen: Impfkommission ändert Empfehlung für AstraZeneca-Erstgeimpfte","pro","mitte","mitte","mitte","train"
"87","fr","3.4","2.4","2.6","1.4","2.9","3.0","2.4","Stand: 01.09.2025, 06:10 Uhr Von: Joachim Wille Kommentare Weltweit klettern Investitionen in Solar-, Wind-, Bioenergie- und Geothermieprojekte auf Rekordhöhe – trotz amerikanischer Rückschritte. Die weltweiten Investitionen in erneuerbare Energien haben im ersten Halbjahr 2025 ein neues Rekordniveau erreicht. Nach Berechnungen des Analysehauses Bloomberg-NEF flossen rund 386 Milliarden Dollar (332 Milliarden Euro) in Solar-, Wind-, Bioenergie- und Geothermieprojekte – etwa zehn Prozent mehr als im Vorjahreszeitraum. Damit setzt sich der Trend fort, dass saubere Energien nicht nur klimapolitisch, sondern auch finanziell zunehmend im Mittelpunkt stehen. Doch die Dynamik verläuft regional höchst unterschiedlich: Während die EU einen kräftigen Aufschwung verzeichnet, brechen die Investitionen in den USA deutlich ein . China blieb mit einem Anteil von 44 Prozent an den Investitionen allerdings der größte Markt. In Europa ist die Investitionsbereitschaft spürbar gestiegen. Nach Zahlen des Reports legten die Ausgaben für neue Projekte im Vergleich zur zweiten Jahreshälfte 2024 um rund 30 Milliarden Dollar zu, was einem Zuwachs von etwa 63 Prozent entspricht. Vor allem im Offshore-Windbereich sind Großvorhaben in der Nordsee und an anderen europäischen Küsten vorangetrieben worden. Getragen wird die Entwicklung durch stabile politische Rahmenbedingungen: Der Europäische Green Deal, das RePowerEU-Programm und nationale Fördermechanismen schaffen Planungssicherheit für Unternehmen und Investoren. Ganz anders ist die Lage in den USA. Dort sanken die Investitionen im ersten Halbjahr 2025 um mehr als ein Drittel im Vergleich zur Vorperiode – ein Rückgang von gut 20 Milliarden Dollar. Beobachter führen das auf die energiepolitische Wende unter der neuen US-Regierung zurück. Viele Projekte waren Ende 2024 vorgezogen worden, um noch von Steuererleichterungen zu profitieren, die mittlerweile gekürzt oder abgeschafft sind. Global betrachtet bleibt das Bild dennoch positiv. Erneuerbare sind der zentrale Wachstumssektor der Energiewirtschaft. Die Finanzierung großer Wind- und Solarparks ging im ersten Halbjahr insgesamt leicht zurück, gleichzeitig stiegen die Mittel für dezentrale Photovoltaik und andere Technologien. Für viele Investoren gilt offenbar: Trotz regionaler Risiken sind erneuerbare Energien einer der sichersten Häfen in unsicheren Zeiten – angesichts der Klimakrise, steigender Energiekosten und geopolitischer Abhängigkeiten von fossilen Importen. Allerdings werden auch fossile Energien weiter ausgebaut.","mikellner.bsky.social","Bluesky","Bündnis 90 Die Grünen","Du suchst gute Nachrichten? Hier sind sie: Neues Rekordniveau bei den Investitionen in Erneuerbare! Die Internationale Energieagentur (IEA) erwartet in diesem Jahr einen neuen Rekord von 2,2 Billionen Dollar. www.fr.de/wirtschaft/r...","https://www.fr.de/wirtschaft/rekordinvestitionen-fuer-gruene-energie-europa-dreht-auf-93909387.html","Rekordinvestitionen für grüne Energie – Europa dreht auf","pro","linkes","mitte","linkes","train"
"539","bild","5.2","1.3","1.3","1.9","3.2","3.2","3.6","Für den von der Hochwasserkatastrophe stark betroffenen Kreis Ahrweiler hat der Deutsche Wetterdienst (DWD) für Dienstag Starkregen vorhergesagt. In sechs Stunden kann es bis zu 35 Liter pro Quadratmeter regnen,  wie der DWD auf seiner Website am Morgen mitteilte. Die Wetterwarnung gelte am Dienstag von 9 bis 17 Uhr.Der Kreis Ahrweiler war bei der Hochwasser-Katastrophe in Rheinland-Pfalz besonders betroffen. Die Zahl der Menschen,  die bei der Flut im Ahrtal ihr Leben verloren hatten,  war am Montag auf 138 gestiegen.Auch für weitere Teile von Rheinland-Pfalz und dem Saarland kündigte der DWD Regen und Gewitter an. Unwetter mit Starkregen sind demnach im Norden am wahrscheinlichsten. Die Temperaturen liegen am Dienstag bei 17 bis 21 Grad.In der Nacht zum Mittwoch sollen Schauer und Gewitter langsam nachlassen. In der zweite Nachthälfte ist es den Meteorologen zufolge dann meist trocken bei Tiefstwerten von 13 bis 11 Grad,  im Bergland teils um 8 Grad. Am Mittwoch soll es nur noch zeitweise schauern bei Höchsttemperaturen zwischen 18 Grad im höheren Bergland und bis zu 22 Grad am Rhein.","SWagenknecht","X","Linke","Die Nachrichten und Bilder der #Flukatastrophe sind erschütternd. Meine Gedanken sind bei den Opfern und ihren Angehörigen sowie bei den Rettungskräften,  die hoffentlich noch viele Vermisste bergen können.","https://bild.de/news/2021/news/hochwasser-in-deutschland-flut-bestattern-fehlt-es-teils-an-leichenwagen-alle-news-im-ticker-77083926.bild.html","Hochwasser aktuell: Unwetter-News im Live-Ticker","neutral","mitte","mitte","mitte","train"
"713","spiegel","3.5","2.7","2.7","2.7","3.1","3.1","3.1","Laut einer internen Bilanz hatten allein am Flughafen Frankfurt am vergangenen Sonntag 64 von rund 2200 Betroffenen entweder nicht den verpflichtenden Corona-Test gemacht oder sich nicht in die elektronische Einreisedatenbank eingetragen. Am Tag darauf stellte die Bundespolizei 63 solcher Verstöße fest. In den meisten Fällen schrieben die Beamten Ordnungswidrigkeitsanzeigen,  die ein Bußgeld zur Folge haben.","Karl_Lauterbach","X","SPD","Von Einreisen ohne Test aus Gebieten mit hoher Mutationsvarianten Quote wird in Polizeikreisen seit Tagen berichtet. Das muss sehr streng kontrolliert werden,  Erfolg unseres Lockdowns kann davon abhängen. Die Umsetzung muss sicher gestellt werden.","https://spiegel.de/politik/deutschland/bundespolizei-registriert-zahlreiche-verstoesse-gegen-neue-einreiseregeln-a-7b61898a-b2d0-4c77-bbb4-00d9858e26bb?sara_ecid=soci_upd_KsBF0AFjflf0DZCxpPYDCQgO1dEMph","Corona-Maßnahmen: Bundespolizei registriert zahlreiche Verstöße gegen neue Einreiseregeln","pro","mitte","mitte","mitte","train"
